序号,英文标题,中文标题,中文摘要
P04200,Collaborative Assessment and Health Risk of Heavy Metals in Soils and Tea Leaves in the Southwest Region of China,中国西南地区土壤和茶叶重金属的协同评估与健康风险,土壤和茶叶中重金属（HMs）富集的协同评估和健康风险评估对保证消费者安全至关重要。然而，在叠加人类活动的高土壤重金属地球化学背景区，土壤-茶系统中重金属相关的健康风险尚不明确。本研究评估了中国西南地区茶叶中的重金属浓度（即铬、镉、砷和铅）及其与土壤含量的关系，以评估其对成人的相关健康风险。结果显示，土壤中Cr的平均浓度最高（79.06 mg kg−1），其次是Pb（29.27 mg kg−1）、As（14.87 mg kg−1）和Cd（0.18 mg kg−1）。大约0.71%、4.99%、7.36%和10.21%的土壤样本超过了Pb、Cr、As和Cd的阈值（NY/T 853-2004）。此外，茶叶中Pb、As和Cd的平均浓度低于相应的残留限量，但Cr高于允许限值。相关分析显示，茶叶中的Pb、Cr、As和Cd含量与其土壤含量呈正相关（p < 0.01），R2分别为0.203**、0.074**、0.036**和0.090**。此外，约40.38%的样本被发现受到污染。此外，空间分布统计分析表明，澜沧为中度污染区，盈江、镇康、永德、镇源、绿春、景东、西盟和孟连为轻度污染区。所有县的Pb、
P04203,Potentially Toxic Element Contaminations and Lead Isotopic Fingerprinting in Soils and Sediments from a Historical Gold Mining Site,历史金矿区土壤和沉积物中的潜在有毒元素污染及铅同位素指纹分析,铅同位素已被广泛用于识别和量化环境中的铅污染。本研究调查了中国北京密云水库上游历史金矿区土壤和沉积物中的铅同位素以及Cu、Pb、Zn、Cr、Ni、Cd、As和Hg的当前污染水平。沉积物的206Pb/207Pb比值（1.137 ± 0.0111）高于未污染土壤（1.167 ± 0.0029），而矿区内的土壤样品变化较大（1.121 ± 0.0175）。研究区域土壤/沉积物中Pb（2470/42.5）、Zn（181/113）、Cu（199/36.7）、Cr（117/68.8）、Ni（40.4/28.9）、Cd（0.791/0.336）、As（8.52/5.10）和Hg（0.168/0.000343）的平均浓度（mg kg-1）表征了该地区的情况，潜在有毒元素（PTE）的平均Igeo值范围：土壤为-4.71至9.59，沉积物为-3.39至2.43。同时，主成分分析（PCA）和层次聚类分析（HCA）结合PTEs之间的皮尔逊相关系数表明，Cu、Zn、Pb和Cd污染的主要来源可能是采矿活动。铅同位素指纹分析和二元混合模型的证据进一步证实，土壤和沉积物中的铅污染来源于混合源，且以采矿活动为主。这些结
P04284,Spatial Distribution Characteristics of Heavy Metals in Surface Soil of Xilinguole Coal Mining Area Based on Semivariogram,基于半变异函数的锡林郭勒煤矿区表层土壤重金属空间分布特征,重金属污染是人类面临的主要环境问题。确定矿区周围重金属污染源的来源和分布，可为环境控制提供科学依据。半变异函数的结构效应和随机效应可用于确定表层土壤重金属含量空间差异的原因，而变异系数和回归分析可用于确认验证精度是否满足地质统计学要求。根据最大差值法，矿区表层土壤中的重金属含量高于周围环境，Cu和Zn含量高于内蒙古背景值。在本例中，Zn、Mn、Pb、Cr、Ni和Cu的含量分别超出研究区域周围背景值的65.10%、53.72%、52.17%、46.24%、33.08%和29.49%。结果表明，人类活动在重金属的空间分布中起决定性作用，导致其呈现“核心-边缘”的空间分布形式。这种分布模式受坡度、NDVI值和与矿区的距离显著影响，但Pb的空间分布与高等级公路显著相关。研究方法和结论对类似矿区重金属污染的来源和空间分布特征具有参考意义，并为中国研究区环境污染的防控提供了目标。
P04285,A Quantitative Analysis of Factors Influencing Organic Matter Concentration in the Topsoil of Black Soil in Northeast China Based on Spatial Heterogeneous Patterns,基于空间异质性模式的中国东北黑土表层土壤有机质浓度影响因子的定量分析,黑土肥沃，富含有机质（OM），非常适合耕作。中国东北黑土区是全球第三大黑土区，生产了中国四分之一的商品粮。然而，由于过度开采和不可持续的管理实践，该区域的土壤有机质（SOM）正在下降，耕地质量也在迅速下降。为了帮助制定黑土综合保护策略，本研究旨在确定导致SOM退化的主要因素。地理探测器可以检测基于空间异质性模式的线性和非线性关系及交互作用，被用于定量分析影响中国东北SOM浓度的自然和人为因素。影响SOM的九个因素按降序排列为：温度、国内生产总值（GDP）、海拔、人口、土壤类型、降水量、土壤侵蚀、土地利用和地貌。所有因素的影响都是显著的，任意两个因素的相互作用都会增强其影响。SOM浓度随温度、人口、土壤侵蚀、海拔和地形起伏的增加而降低。SOM随降水量的增加而增加，随GDP的增加先降低后增加，并随土壤类型和土地利用的不同而变化。本文介绍了有关详细影响的结论。例如，风蚀的影响比水蚀更显著，灌溉土地的SOM含量低于旱地。基于研究结果，建议采取保护措施，包括保护性耕作、农田防护林、横坡垄作、梯田和雨养农业。应禁止将优质农田转为非农业用途。
P04302,Drive Mechanisms of Soil Quality Changes in Peri-Urban Areas,城乡结合部地区土壤质量变化的驱动机理,土壤质量（SQ）的驱动机制对耕地保护、农业可持续发展和生态环境保护具有重要意义。本研究构建了一个“感知-响应”理论框架，从时空角度探讨农民土地利用行为如何影响SQ。基于在中国东北地区典型城乡结合部收集的土壤采样数据、农民调查数据和社会经济统计数据，应用地质统计分析和经济计量模型检验了农民土地利用行为（FLUB）对SQ的影响。结果显示，1980-2010年间，FLUB的目标已从“产量最大化”转向“产量和利润最大化”，进而转向“利润最大化”。FLUB，包括土地利用方式、土地利用程度和土地投入强度，在空间上也表现出明显差异。这些差异导致SQ在时间和空间上的变化影响不同。总体而言，土壤有机质（OM）呈下降趋势，有效氮（AVN）和有效磷（ANP）呈上升趋势，而有效钾（AVK）在初期下降后有所增加。此外，距离市中心越远，SQ的空间变化越大。这些发现不仅为决策者改善城市郊区SQ提供了理论和实践意义，也为城乡结合部农业（PUA）的可持续发展做出了重要贡献。
P04303,"Spatial Distribution, Environmental Risk and Safe Utilization Zoning of Soil Heavy Metals in Farmland, Subtropical China",亚热带中国农田土壤重金属的空间分布、环境风险及安全利用区划,农田土壤中重金属（HM）的积累可通过食物链转移到人体，对人类健康构成严重威胁。探索农田土壤重金属的环境风险和安全利用区划，为制定有效控制策略提供依据。本研究在金华市采集典型的亚热带农田土壤样品，并分析了重金属（As、Cd、Cr、Cu、Hg、Ni、Pb 和 Zn）。本研究旨在探讨土壤重金属的空间分布和环境风险，进而划分金华市农田土壤重金属的安全利用区域。结果表明，土壤重金属的平均浓度依次为：Zn (76.05 mg kg-1) > Cr (36.73 mg kg-1) > Pb (32.48 mg kg-1) > Cu (18.60 mg kg-1) > Ni (11.95 mg kg-1) > As (6.37 mg kg-1) > Cd (0.18 mg kg-1) > Hg (0.11 mg kg-1)，所有测定的土壤重金属均未超过中国农用地土壤污染风险筛选值。拟合的半变异函数表明，Cd、Hg、Pb 和 Zn 的空间自相关性较弱，呈岛状分布，而 As、Cr、Cu 和 Ni 具有中等空间自相关性，呈带状和岛状分布。热点分析和环境风险概率显示，As、Cd、Cu、Pb、Zn 和 Cu 的
P04304,"Sources of and Control Measures for PTE Pollution in Soil at the Urban Fringe in Weinan, China",中国渭南城市边缘带土壤中潜在有毒元素污染的来源及控制措施,城市边缘的环境复杂而脆弱。随着工业化和城市化进程的加快，城市边缘带已成为城市扩张的主要空间，强烈的人类活动导致土壤中潜在有毒元素（PTE）污染风险较高。本研究从快速城市化建设的地区——中国渭南采集了138个表层土壤样品。测量了As、Pb、Cr、Cu和Ni（电感耦合等离子体质谱法，ICP-MS）以及Hg（原子荧光光谱法，AFS）的浓度。采用克里金插值法创建了空间分布特征的可视化，并分析了土壤中PTE的污染源。利用国家土壤环境质量标准评估了不同土地利用类型下土壤中PTE的污染状况。结果表明，As的含量范围波动较小，变异系数较小，主要来源于自然土壤形成过程。汽车修理厂、预制厂和建材厂周围的Cr、Cu和Ni含量由于土壤中磨损颗粒的沉积而增加。研究区13.99%的土地存在Hg污染，主要分布在一级开发用地和农田上。化工厂是主要的污染源。该研究区应严格控制工业污染排放，规范农业生产，调整土地利用规划，减少污染对人类的影响。此外，我们针对每种特定的土地利用类型提出了针对性的修复建议。这些结果具有理论意义，对于土壤中PTE的控制具有实用价值，并将为城市化过程中城市边缘带的生态环境保护提供支持。
P04305,Impact of Industrial Pollution of Cadmium on Traditional Crop Planting Areas and Land Management: A Case Study in Northwest China,工业镉污染对传统作物种植区及土地管理的影响：中国西北地区案例研究,土壤中的镉不仅降低作物的产量和质量，而且由于生物富集作用，还会威胁人类健康和野生动物的安全。本研究以位于中国西北部的典型工业区白银市为研究对象，评估了镉的空间分布。我们在实验室模拟了土壤镉浓度，基于当地采样点的水平，以检测紫花苜蓿和玉米植物如何积累镉。实验结果显示，所有土壤样品中的镉含量均超过中国一般农田的国家标准；此外，紫花苜蓿和玉米所有组织中的镉积累均超过国家饲料标准。因此，研究区的紫花苜蓿和玉米不应用作饲料。然而，由于镉的积累，约36%的紫花苜蓿和玉米种植区可用于植物提取。针对土壤污染管理，我们建议将研究区域划分为三个不同的区域，包括禁种区、植物修复区和种植区。我们的土壤管理模式可以有效帮助当地人避免食品安全风险，并实现污染区土壤利用的可持续发展。
P04306,The Spatial Distribution and Prediction of Soil Heavy Metals Based on Measured Samples and Multi-Spectral Images in Tai Lake of China,基于实测样本和多光谱影像的中国太湖土壤重金属空间分布及预测,土壤是一种重要的自然资源。土壤中过量的重金属会危害并威胁人类健康。因此，监测土壤重金属含量迫在眉睫。传统方法监测土壤重金属需要大量的人力和物力资源。遥感技术在重金属监测领域显示出优势。本研究基于中国太湖的971个重金属样本和哨兵2号多光谱影像，分析了六种重金属（Cd、Hg、As、Pb、Cu、Zn）与光谱因子之间的相关性，并选择As和Hg作为反演模型的输入因子。As最佳模型的相关系数为0.53（p < 0.01），Hg为0.318（p < 0.01）。我们利用偏最小二乘回归（PLSR）和反向传播神经网络（BPNN）方法，使用649个实测样本建立了不同光谱因子组合的反演模型。此外，使用322个实测样本进行了精度评估。与PLSR模型相比，BP神经网络建立的模型精度更高，B1-B4与LnB1-LnB4组合建立的模型精度最高。经验证，最佳模型的平均误差As为19%，Hg为45%。利用Kriging和IDW插值方法分析重金属的空间分布。两种插值方法的总体分布趋势相似。As元素的浓度倾向于从北向南增加，Hg元素的相对高值分布在研究区的东部和西部。研究区的工厂沿河流和湖泊分布，这与重金属富集区的空间分
P04308,"Spatial Analysis of Cultivated Land Productivity and Health Condition: A Case Study of Gaoping City, China",耕地生产力和健康状况的空间分析：以中国高平市为例,耕地生产能力（PC）是国家粮食安全的基础。健康状况（HC）是表明耕地生态安全的重要参数。中国目前实施的“耕地数量、质量、生态三位一体保护”政策是重要的保护方向之一。然而，现有的评价体系多样且重叠，主要集中在耕地的质量和生产潜力上，较少关注中国的健康状况及其之间的关系。本研究构建了一个包括气候、地貌、土壤和利用等因素的综合PC评价体系，并建立了包含内部和外部因素的HC评价体系，以支持三位一体模式保护政策的要求。这些新的评价体系在中国高平市进行了应用。结果表明，平均PC指数为1617.35，范围在98.40至4321.53之间，高等别面积最大，占总耕地面积的36.37%。PC的空间分布呈现出从西南向东北递减的趋势。高平耕地HC的平均得分为79.86，呈现出中部地区低、边缘地区高的增长趋势，揭示了人类活动与健康状态之间相对立的空间特征。约有2637.86公顷的耕地处于不平衡阶段，表明这是管理者需要关注的重点。总的来说，该研究为评价PC和HC提供了参考和科学依据，并为可持续耕地管理提供了支持信息。
P04361,Low Molecular Weight Organic Acids Increase Cd Accumulation in Sunflowers through Increasing Cd Bioavailability and Reducing Cd Toxicity to Plants,低分子量有机酸通过增加镉的生物有效性和降低镉对植物的毒性来增加向日葵中镉的积累,低分子量有机酸(LMWOAs)用于重金属植物修复已成为一种有前景的技术。我们选择了五种有机酸(草酸(OA)、乙酸(AA)、酒石酸(TA)、苹果酸(MA)和柠檬酸(CA))，设置了六个施用量(1、2、3、4、5和6 mmol/kg)，并在镉污染土壤中种植向日葵(Helianthus annuus L.)，以研究镉的植物修复效率以及镉对植物的毒性程度。未施酸的处理作为对照组(CK)。我们分析了土壤和植物组织中的植物高度、干物质以及镉和非蛋白巯基(NPT)的含量。OA、AA、TA、MA和CA使向日葵的株高分别增加了17.6-47.40%、21.25-39.17%、12.5-35.52、5.10-30.50%和16.15-49.17%；除MA外，向日葵的地上部生物量均有所增加。在LMWOA应用下NPT减少，但在LMWOA处理下，根部的NPT随着根镉的增加而增加；然而，在茎和叶中没有明显的关系。与CK相比，LMWOA处理下土壤中镉的组成发生了显著变化，其中碳酸盐镉和铁锰氧化物镉的变化最为显著。OA、AA、TA、MA和CA的植物镉积累分别增加了43.31%、55.25%、48.69%、0.52%和
P04362,Human Health Risk Distribution and Safety Threshold of Cadmium in Soil of Coal Chemical Industry Area,煤化工区土壤镉的人体健康风险分布及安全阈值,镉是一种高致癌金属，在土壤污染风险管理中起着重要作用。本研究从中国西北某煤化工厂采集了153个土壤样品，通过多种暴露途径评估了与镉相关的人体健康风险。同时，利用克里金插值方法探讨了镉的空间分布和健康风险。结果表明，土壤中镉的平均浓度为0.540 mg/kg，分别是宁夏和中国土壤背景值的4.821倍和5.567倍。相比之下，土壤中镉的浓度低于国家土壤环境质量三级标准（1.0 mg/kg）。此外，健康风险评估结果显示，镉的总致癌风险为1.269 x 10^-6 – 2.189 x 10^-6，均高于可接受标准（1 x 10^-6），而危害商在可接受水平内。口腔摄入和摄入土壤颗粒是主要的暴露途径，且口腔摄入的致癌风险控制值最低（0.392 mg/kg），可作为煤化工土壤镉安全阈值的严格参考。通过克里金插值，可以在煤炭入口走廊和行人入口周围的区域集中预测重金属污染。本研究可为确定中国煤化工行业重金属安全阈值提供理论依据。
P04363,"Pollution Characteristics, Distribution and Ecological Risk of Potentially Toxic Elements in Soils from an Abandoned Coal Mine Area in Southwestern China",中国西南地区某废弃煤矿区土壤中潜在有毒元素的污染特征、分布及生态风险,来自废弃煤矿的酸性矿山排水（AMD）由于pH值低且潜在有毒元素浓度高，可能导致严重的环境问题。在这项研究中，测量了中国贵州省鱼宇流域27个地表土壤样品的土壤pH值、硫（S）含量以及砷、镉、铬（Cr）、铜、铅、镍、锌、铁、锰和汞的浓度，这些地区的煤炭开采活动在九年前已经停止。土壤呈酸性，平均pH值为5.28。镉是唯一一种平均浓度高于国家土壤质量标准的元素。砷、镉、铜、镍、锌、锰、铬和铁的浓度均高于贵州省的背景值。特别是镉、铜和铁的浓度，分别是其各自背景值的1.69、1.95和12.18倍。镉和铁的地累积指数分别表现为未污染至中度污染和重度污染水平，表明该研究区的污染水平高于其他元素。在空间上，AMD站点土壤中的铁和硫浓度显著较高，pH值极低；然而，支流与鱼宇河（TM）汇合的站点镉污染水平最高。铁主要来自非点源（如AMD和煤矸石），而AMD和农业活动是镉的主要来源。生态风险评估结果表明，镉水平呈现出中等的潜在生态风险，而其他元素均构成低风险。对于TM站点，镉的生态风险最高，其水平可能在雨季对水生生物有害，并可能通过食物链危及人类健康。
P04364,Spatial Contamination and Potential Ecological Risk Assessment of Heavy Metals in Farmland Soil around Nonferrous Metal Smeltery in North China,华北地区有色金属冶炼厂周围农田土壤重金属的空间污染及潜在生态风险评估,有色冶金是环境中重金属的重要来源，因此对生态系统构成潜在风险。冶炼对周围环境的影响令人关注。在本研究中，使用电感耦合等离子体质谱法（ICP-MS）分别调查了两个有色金属冶炼厂周围采集的土壤样品中选定重金属——铬、镍、铜、锌、铅、镉 和砷 的含量水平。通过 ArcGIS 方法研究了土壤金属污染物的空间分布特征，并采用 Hakanson 潜在生态危害指数评估了潜在生态风险。结果表明，土壤受到 Cr、Ni、Cu、Zn、Cd、Pb 和 As 的严重污染。冶炼厂 A 周围土壤中它们的平均含量分别为 88、62、103、1200、1.4、146 和 69 mg/kg，冶炼厂 B 周围分别为 86、59、83、117、0.53、57 和 65 mg/kg。它们的含量明显高于土壤背景值 Cr (68 mg/kg)、Ni (31 mg/kg)、Cu (22 mg/kg)、Zn (78 mg/kg)、Cd (0.09 mg/kg)、Pb (22 mg/kg) 和 As (14 mg/kg)。土壤分布模式和风险评估结果表明，两个冶炼厂周围的污染达到了强烈和中等的生态危害，Cd 和 As 的贡献率分别高达 8
P04374,Geochemical Anomaly Characteristics of Cd in Soils around Abandoned Lime Mines: Evidence from Multiple Technical Methods,废弃石灰矿周边土壤中镉的地球化学异常特征：来自多种技术方法的证据,石灰矿是潜在的污染源，周边土壤环境普遍受到威胁，尤其是废弃石灰矿。本文以皖东地区为研究对象，试图分析镉的富集是否与废弃矿山有关。在地质调查的基础上，系统运用XRD、XRF、地统计学和普通克里格插值法确定了研究区镉的分布规律，并评价了镉的潜在生态风险。结果表明，红碎屑岩成土母质（RdcPm）和碳酸盐成土母质（CPm）土壤样品的主要矿物类型不完全相同。相关分析显示，CaO、MgO和Cd与CPm呈正相关。人类活动导致研究区Cd的积累。高Cd主要集中在研究区西北部，这与废弃矿山和土壤母质有关。研究区以轻微潜在风险为主，部分地区存在中等潜在风险和高潜在风险。所有潜在高风险均位于CPm区域。本研究为研究区土壤的综合利用和开发规划提供了科学依据。
P04381,Contribution of Nano-Zero-Valent Iron and Arbuscular Mycorrhizal Fungi to Phytoremediation of Heavy Metal-Contaminated Soil,纳米零价铁和丛枝菌根真菌对重金属污染土壤植物修复的贡献,土壤重金属污染日益受到关注，亟需开发新的修复策略。物理、化学和生物技术的结合可以实现更高效的修复。然而，很少有研究关注纳米材料和有益微生物是否可以联合使用以促进植物修复。因此，我们研究了纳米零价铁和丛枝菌根（AM）真菌在甜高粱修复酸性Cd、Pb、Zn污染土壤中的作用。进行了X射线衍射（XRD）、能量色散X射线光谱（EDS）和mapping分析，以探讨nZVI固定重金属的机制。结果表明，虽然裸nZVI（B-nZVI）和淀粉稳定nZVI（S-nZVI）都抑制了根部菌根定植，但Acaulospora mellea ZZ成功定植于植物根部。AM接种显著降低了土壤中DTPA-Cd、-Pb和-Zn的浓度，以及植物中Cd、Pb和Zn的浓度，表明AM真菌极大地促进了重金属的固定。50 mg/kg至1000 mg/kg的B-nZVI和S-nZVI均未阻碍植物生长，并普遍增强了重金属的植物提取。XRD、EDS和mapping分析显示，SnZVI比B-nZVI更容易氧化，因此对重金属的固定效果更有效。低浓度的nZVI（如100 mg/kg）和AM接种对重金属固定具有协同作用，降低了根部Pb和Cd的浓度，并增
P04436,"Ecological and Environmental Effects of Estuarine Wetland Loss Using Keyhole and Landsat Data in Liao River Delta, China",基于锁眼和Landsat数据的辽河三角洲河口湿地流失的生态环境效应,该研究选择了生态系统服务价值（ESV）、鸟类适宜栖息地以及土壤重金属潜在生态风险作为指标，分别利用效益转移法、综合叠加法和潜在生态风险指数法（RI）评估生态环境效应。结果表明，Cd 是主要的土壤重金属污染物，其浓度、累积量和潜在生态风险贡献均较高。
P04440,A New Coupled Elimination Method of Soil Moisture and Particle Size Interferences on Predicting Soil Total Nitrogen Concentration through Discrete NIR Spectral Band Data,基于离散NIR波段数据的土壤全氮浓度预测中土壤水分和粒径干扰的新型耦合消除方法,快速准确测量高分辨率土壤全氮（TN）信息可以促进变量施肥，保护环境并确保作物产量。许多学者专注于探索基于光谱技术的快速TN检测方法及相应的土壤传感器。然而，土壤光谱很容易受到许多因素的干扰，尤其是土壤水分和粒径。实时消除这些因素的干扰对于提高农田TN浓度测量的准确性和效率是必要的。尽管许多方法可用于消除连续光谱估算土壤参数时的土壤水分和粒径影响。然而，离散NIR波段数据在波谱属性上与连续光谱完全不同，即在光谱意义上不具有连续性。因此，适用于连续光谱的相关土壤水分和粒径影响消除方法不适用于离散NIR波段数据。为了解决这个问题，本研究提出了水分吸收校正指数（MACI）和粒径校正指数（PSCI）方法，分别用于消除土壤水分和粒径的干扰。基于1450 nm处的强土壤水分吸收带，通过将原始波段数据归一化为标准波段数据来降低土壤水分干扰。对于PSCI方法，首先确定1361 nm和1870 nm为土壤粒径的特征波段。其次，提出计算1631 nm和1870 nm波长的归一化指数$N _ { p } $，以消除离散NIR波段数据上的土壤粒径干扰。最后，提出并评估了一种新的耦合消除方法，用于消除通过离散NI
P04443,Estimation of Heavy Metals in Agricultural Soils Using Vis-NIR Spectroscopy with Fractional-Order Derivative and Generalized Regression Neural Network,基于分数阶导数和广义回归神经网络的农田土壤重金属近红外光谱估算,随着工业化和城市化的发展，农田土壤重金属污染迅速累积并危害人类健康。可见光-近红外光谱技术为快速监测重金属变化提供了可行性。本研究探讨了分数阶导数（FOD）、最优波段组合算法和不同数学模型在利用Vis-NIR光谱估算土壤重金属方面的潜力。研究团队从中国辽宁省苏子河流域的农业区域采集了共80份土壤样本，并在实验室获取了汞、铬和铜的光谱数据。在光谱预处理方面，FOD的阶数在0到2之间以0.2为步长变化，并将最优波段组合算法应用于FOD后的光谱。随后，利用偏最小二乘回归（PLSR）、自适应神经模糊推理系统（ANFIS）、随机森林（RF）和广义回归神经网络（GRNN）四种数学模型来估算Hg、Cr和Cu的浓度。结果表明，高阶FOD在突出隐藏信息和分离微小吸收峰方面效果显著，而最优波段组合算法能有效消除高阶FOD引起的光谱噪声影响。最优波段组合算法与FOD的结合能够进一步挖掘光谱信息。此外，与ANFIS、PLSR和RF相比，GRNN显著提高了所有研究重金属的估算精度。综上所述，本研究结果为农田土壤中Hg、Cr、Cu等重金属污染区域的快速估算提供了更多可行性。
P04481,"Rapid Determination of Low Heavy Metal Concentrations in Grassland Soils around Mining Using Vis–NIR Spectroscopy: A Case Study of Inner Mongolia, China",利用 Vis–NIR 光谱快速测定矿区周边草地土壤中低浓度重金属：以中国内蒙古为例,近地感知提供了一种确定土壤重金属浓度的新方法，有助于实现低成本、大范围的快速分析。在这方面，光谱数据和模型变量起着重要作用。迄今为止，尚未有人尝试利用连续去除（CR）、不同的预处理和统计方法以及不同的建模变量来估算土壤重金属含量。考虑到重金属在土壤光谱活性成分中的吸附和滞留，本研究提出了一种利用与土壤有机质（SOM）和可见光-近红外（Vis–NIR）相关的光谱波段来测定土壤中低浓度重金属的方法。为了利用高光谱数据快速测定重金属浓度，研究开发并探索了偏最小二乘回归（PLSR）、主成分回归（PCR）和支持向量机回归（SVMR）统计方法以及 16 种预处理组合，以确定最佳组合。结果表明，利用二阶导数光谱变换方法评估的多元散射校正和标准正态变量预处理方法可以准确测定土壤 Cr 和 Ni 的浓度。PLSR、PCR 和 SVMR 的 Vis–NIR 模型组合的均方根误差（RMSE）对于 Cr 分别为 0.34、3.42 和 2.15，对于 Ni 分别为 0.07、1.78 和 1.14。土壤 Cr 和 Ni 对 Vis–NIR 光谱波段表现出强烈的光谱响应。基于 Vis–NIR 的 PLSR 模型
P04531,"Microbes as Biofertilizers, a Potential Approach for Sustainable Crop Production",微生物作为生物肥料：可持续作物生产的潜在途径,地球自然资源的持续减少和有害化学肥料的增加使用对农业的未来构成了巨大关注。生物肥料是有害化学肥料的有前景的替代品，在实现可持续农业方面正变得越来越重要。生物肥料在提高作物产量和保持长期土壤肥力方面起着关键作用，这对于满足全球粮食需求至关重要。微生物可以与作物相互作用并增强其免疫力、生长和发育。氮、磷、钾、锌和硅是作物正常生长所需的必需营养元素，但这些营养元素通常以不溶性或复合形式存在。某些微生物使其溶解并可供植物利用。本综述讨论了潜在的微生物、它们的作用方式及其对作物的影响。生物肥料具有成本效益高、无毒和环保的特点，是昂贵有害化学肥料的良好替代品。从本综述中获得的知识有助于我们理解微生物在农业中的重要性，以及将这些微生物制成生物肥料用于可持续作物生产的方法。
P04532,"Source Apportionment and Ecological Risk Assessment of Potentially Toxic Elements in Cultivated Soils of Xiangzhou, China: A Combined Approach of Geographic Information System and Random Forest",中国向州地区耕地土壤潜在有毒元素的源解析与生态风险评价：结合地理信息系统与随机森林的方法,"土壤是农业生态系统中污染物的重要汇和源。为了研究中国向州地区潜在有毒元素的来源和生态风险，本研究从耕地采集了326个土壤样品，并分析了五种潜在有毒元素：镉、汞、砷、铅和铬。本研究利用生态风险评价确定研究区的污染程度，利用地理信息系统（GIS）的结果研究潜在有毒元素的空间分布特征，并利用随机森林评价自然和人为影响因素。我们通过量化指标调查了潜在有毒元素的来源，并提出了进一步的建议。结果如下：(1) 潜在有毒元素的平均含量分别为 Cd 0.14 mg/kg, Hg 0.05 mg/kg, As 12.33 mg/kg, Pb 28.39 mg/kg, 和 Cr 75.21 mg/kg。与湖北背景值、邻近地区和国家相比，Cd、As、Pb 和 Cr 的结果显示轻度污染。(2) 通过综合污染指数对土壤污染进行总体评价表明 Cd 存在轻微污染。通过潜在生态风险指数评价表明 Cd 造成的生态风险较低，Hg 存在中等污染。通过地累积指数评价显示 Cd、As 和 Pb 的生态风险较低，Hg 存在中等污染。(3) 我们发现，除了自然因素（如土壤母质、土壤 pH 等）外，长期的工业污染、矿产开采和加工、交通"
P04535,Source Identification of Cd and Pb in Typical Farmland Topsoil in the Southwest of China: A Case Study,中国西南地区典型农田表层土壤中镉和铅的源解析：案例研究,
P04538,"The Levels, Sources, and Spatial Distribution of Heavy Metals in Soils from the Drinking Water Sources of Beijing, China",中国北京饮用水源土壤中重金属的水平、来源和空间分布,"我们的研究区域是官厅和密云水库的上游流域；这两个水库共同构成了中国北京的主要饮用水源。为了防止作物污染并保持水和土壤的质量，有必要在流域尺度上调查农田土壤中重金属的空间分布和来源。在这项研究中，我们收集了23,851个农田表层土壤样品。基于对这些样品中八种重金属浓度的分析，我们发现研究区域的整体土壤质量极佳，但Cd、Cu、Zn和Cr的污染风险相对较高。此外，超过农用地土壤污染风险筛选值的样本百分比为：Cd (1.54%)、Cu (0.28%)、Zn (0.25%)、Cr (0.13%)、Pb (0.09%)、As (0.05%)、Ni (0.04%) 和 Hg (0.02%)。除了确定土壤样品重金属浓度的空间分布特征外，我们还进行了因子分析和R型聚类分析 (CA) 以聚集相似变量来追踪重金属的来源。我们发现Cd、Pb和Zn可能来源于石英正长斑岩体和燃煤企业，而Cr、Cu和Ni的污染主要由铁矿冶炼的径流引起。此外，农业生产导致Cu的局部积累，工业（冶炼）排放部分造成了As污染。由于污染物的大气沉降，高Hg浓度的区域通常以大中城市为中心。由于这些较高的自然重金属背景值，流域中现有和未来的重"
P04539,"Heavy Metal Concentrations in Orchard Soils with Different Cultivation Durations and Their Potential Ecological Risks in Shaanxi Province, Northwest China",陕西不同种植年限果园土壤重金属浓度及潜在生态风险,长期施肥活动导致的土壤重金属污染在许多国家日益严重，危及生态安全和人类健康。本研究采用电感耦合等离子体质谱法（ICP-MS）测定了中国西北陕西省白水县不同种植年限的5个苹果园土壤剖面、1个现代间作农田土壤剖面和1个自然土壤剖面中8种重金属元素（Cd、Hg、As、Pb、Cr、Cu、Ni和Zn）的浓度。通过单因子污染指数、内梅罗综合指数（NCI）和潜在生态风险指数（RI）评估了土壤中重金属存在的潜在风险。结果表明，农田土壤中Cr、Ni、As、Pb和Hg的平均浓度高于苹果园土壤。苹果园土壤中Ni、Cu、As和Hg的平均浓度在种植25年后达到最高。结果意味着重金属浓度将随着种植时间的增加而增加。农田土壤的NCI最高，而苹果园土壤的NCI也随种植时间的增加而增加。与无公害果园和绿色食品产地的质量标准相比，所有Pi和NCI分别小于1和0.7，表明土壤处于健康状态。RI结果也表明土壤具有低生态风险（RI < 150）。虽然潜在生态风险目前较低，但应考虑预测和减少重金属输入。
